,frequency,item
0,38087,#nba
1,7236,#nbaonabc
2,2601,#heretheycome
3,2709,#knicks
4,3299,#lakers
5,4701,#dubnation
6,3012,#thunderup
7,3329,#milehighbasketball
8,5020,#ps4live
9,2926,#cusrise
10,20336,#nbaallstar
11,2736,#lebronjames
12,3154,#dfs
13,2762,#onelastdance
14,7797,#lakeshow
15,2902,#morphexjeffreestar
16,3411,#giannis
17,3601,#mvp
